trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.015893115992,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.32576338272176,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,16,-11.4270168193559,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.98572079821443,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-247.8948663745115,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.58846773732563,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.01472732694796,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.11006432653375,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.34171381838743,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.47827733237243,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.70320891436455,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.34247405774147,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.80469310204527,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.52289321294054,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.36185360307897,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.0141815159321,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
