trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.85}",20,6,-7.753710406807482,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.7999999999999999}",25,0,-211.35277475759895,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.7499999999999999}",25,0,-112.20900258601746,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.6999999999999998}",20,0,-61.28818519388441,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.6499999999999998}",20,0,-82.49561730280386,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5999999999999998}",30,3,-18.235477064123458,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.5499999999999997}",20,0,-39.29306293539811,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.4999999999999997}",25,0,-94.59247817072227,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.44999999999999973}",20,0,-72.79089319571712,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.39999999999999974}",20,5,-28.91413879147098,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.34999999999999976}",20,12,1.3604591269533182,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.29999999999999977}",25,13,-42.912525637516396,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.24999999999999978}",20,6,-1.28697390558757,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.1999999999999998}",25,0,-77.43231382744958,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.1499999999999998}",20,0,14.97284318619483,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.0999999999999998}",20,8,-64.10286732207774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.049999999999999795}",30,18,23.795442904683203,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -2.0816681711721685e-16}",20,0,-43.56197803987214,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': -0.05000000000000021}",25,5,-8.357810859039361,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.10000000000000021}",25,12,-0.8233433146674487,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,9,23.80495977447056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,26.375429464187267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,25.52300784313142,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,25.079290502302687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,9,36.642994223354016,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,20,4.42430773045151,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,38.89676238161779,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,12.10173644530068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,10.774679291167098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,13.353075373655903,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
