trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 21.48808848170153}",25,0,-140.8339757871533,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 15.194373080147642}",35,0,-137.21224586944427,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 12.406153669280886}",30,0,-75.99999050219573,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 10.744044240850766}",25,0,-169.4743634842074,"{0: 13, 1: 5, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 9.609765310322965}",25,8,-35.90144753705941,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 8.772475387990882}",20,0,-132.4078480377203,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 8.121734038961943}",20,0,-122.25365083474186,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 7.597186540073821}",30,0,-107.72260647444585,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 7.162696160567178}",20,0,-38.34690328627873,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 6.795130216540601}",20,0,-69.52889648755777,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 6.478902450523789}",20,0,-80.06028552971735,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 6.203076834640443}",20,0,-148.26158394414512,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 5.95972344865246}",25,0,-334.5175265516215,"{0: 9, 1: 1, 2: 6, 3: 4, 4: 5}",0
14,False,"{'a': 0.5, 'e': 5.742933213943613}",20,0,-26.975262341100056,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 5.548200588764089}",20,0,-109.11610870717884,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 5.372022120425383}",20,0,-110.26069027935648,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 5.211626970745499}",20,0,-90.1761823394363,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 5.064791026715903}",35,0,-138.52864141539817,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 4.929705588505109}",30,0,-108.956227404929,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 4.8048826551614825}",25,0,-85.14360108242103,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 4.689085333681228}",25,0,-216.92087546488239,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 4.581275857411505}",25,0,-224.8846414171646,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 4.48057617896858}",25,0,-119.82263549141676,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 4.386237693995441}",30,0,-219.63023109134,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 4.297617696340298}",20,0,-104.64390808395719,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 4.214160864538637}",20,0,-23.59293232708754,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 4.1353845564269545}",25,0,-187.56083770139273,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.5, 'e': 4.0608670194809715}",25,0,-154.6967017177191,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 3.990237857387979}",25,0,-96.82598271404407,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 3.9231702596982787}",25,0,-136.75386062416538,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 3.859374621734071}",35,0,-212.55879245629035,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 3.7985932700369105}",30,0,-180.35568706723643,"{0: 16, 1: 2, 2: 7, 3: 4, 4: 1}",0
33,False,"{'a': 0.5, 'e': 3.740596073863231}",20,0,-129.75304919757502,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 3.6851767720288446}",20,0,-153.79795006687863,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
